running ring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
16                     35.13
32                     35.40
64                     35.32
128                    36.89
256                    45.97
512                    49.50
1024                   56.58
2048                   58.95
4096                   77.35
8192                  113.58
16384                 194.92
32768                 291.18
65536                 718.50
131072               1152.12
262144               1883.76
524288               4053.56
1048576              7039.43
 
running reduce_scatter_allgather w/ n=9 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      36.17
8                      35.69
16                     35.26
32                     35.32
64                     35.54
128                    37.23
256                    45.77
512                    49.37
1024                   53.99
2048                   69.77
4096                   78.78
8192                   96.88
16384                 121.85
32768                 149.44
65536                 314.51
131072                409.01
262144                652.78
524288               1180.98
1048576              1817.18
 
running circ_vring w/ n=9 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      39.37
8                      38.90
16                     38.70
32                     38.93
64                     38.93
128                    40.08
256                    68.28
512                    69.93
1024                   73.79
2048                   77.90
4096                   86.42
8192                  164.45
